Institution,Rating,NDUB 2026 Point,BUET 2026 Point,ICPC 2025 Point,CUET 2025 Point,MU 2025 Point,UU 2025 Point,DUET 2025 Point,AUST 2025 Point,UIU 2025 Point,KUET 2025 Point,ICPC 2024 Point,BUET 2024 Point,IUT 2024 Point,NCPC 2024 Point,SUST 2024 Point,CUET 2024 Point
INSTITUTE OF SCIENCE AND TECHNOLOGY,234,,,82,192,,166,367,679,257,166,417,408,844,203,,1892
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,228,,,,,,,382,,201,,30,,236,,,
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,225,345,,90,107,,390,489,,,,25,,,,133,
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,225,374,,7,,,,288,,,80,21,171,879,110,,
BANGLADESH UNIVERSITY OF PROFESSIONALS,225,318,276,4,,0,,105,152,1101,115,106,,226,28,414,192
BGC TRUST UNIVERSITY BANGLADESH,225,299,,182,,,,,,,,10,,,34,,
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),215,305,,152,,,,,,,,79,,,36,,
"BEGUM ROKEYA UNIVERSITY, RANGPUR",214,,,9,,,,552,179,354,255,507,443,478,694,390,235
MANARAT INTERNATIONAL UNIVERSITY,192,338,156,0,,,,,,,,0,,,,,
NOTRE DAME UNIVERSITY BANGLADESH,180,312,,6,,,,,155,,0,0,,0,,,
PORT CITY INTERNATIONAL UNIVERSITY,160,,,117,174,0,,170,182,267,87,434,,,35,,539
FENI UNIVERSITY,151,0,160,11,184,288,184,0,427,119,,49,262,,,,1139
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,129,,,12,177,218,0,181,303,86,100,0,,281,,,182
"INDEPENDENT UNIVERSITY, BANGLADESH",128,,170,30,,,147,,93,533,,43,0,441,285,686,212
BANGLADESH AGRICULTURAL UNIVERSITY,125,,,10,240,,163,236,,,118,21,,0,,,
FARIDPUR ENGINEERING COLLEGE,112,,,105,,,,,,,163,149,,,31,,
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,103,,,,,,,,,,,61,,209,,,406
R. P. SHAHA UNIVERSITY,92,,,10,,,,0,,246,414,158,,,66,,208
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,91,,,0,,,144,250,213,258,76,0,,283,30,139,260
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,78,,,5,,,,332,,134,,44,,,,,
INTERNATIONAL UNIVERSITY OF SCHOLARS,77,,,81,,,,,,,,30,,,,,
MYMENSINGH ENGINEERING COLLEGE,77,,,15,,,,339,,,0,11,,,,141,
DAFFODIL INSTITUTE OF IT (DIIT),66,,,0,,,,294,,,,22,,,35,,
TEJGAON COLLEGE,65,,,13,,,,282,,,,32,,,64,,
KHWAJA YUNUS ALI UNIVERSITY,65,,,37,,,150,164,,72,73,0,,,,,
SYLHET INTERNATIONAL UNIVERSITY,62,,,8,109,0,,109,,0,,21,,271,77,596,
WORLD UNIVERSITY OF BANGLADESH,62,,,65,,,,,,,,0,,,,,
BANGLADESH UNIVERSITY,60,,,10,,,139,160,140,76,,0,,0,,,
